,vid_id,ad_view
0,VID_1054,1
1,VID_18629,10
2,VID_13967,4
3,VID_19442,28
4,VID_770,12
5,VID_10315,5
6,VID_7417,13
7,VID_17788,23
8,VID_14591,24
9,VID_1228,12
10,VID_10153,1
11,VID_5667,0
12,VID_22775,0
13,VID_8353,5
14,VID_486,6
15,VID_17460,19
16,VID_5867,3
17,VID_15951,3
18,VID_14890,44
19,VID_7219,0
20,VID_20045,21
21,VID_11874,0
22,VID_1208,15
23,VID_4529,2
24,VID_6793,5
25,VID_18254,9
26,VID_11155,13
27,VID_12257,14
28,VID_4207,0
29,VID_23276,7
30,VID_18261,13
31,VID_11536,4
32,VID_6429,40
33,VID_9277,0
34,VID_517,1
35,VID_11291,0
36,VID_11265,768
37,VID_632,11
38,VID_13587,6
39,VID_16439,754
40,VID_14888,41
41,VID_3207,47
42,VID_9352,0
43,VID_3286,29
44,VID_19592,0
45,VID_15582,5
46,VID_15269,5
47,VID_5703,21
48,VID_22315,10
49,VID_14939,10
50,VID_18277,1
51,VID_1684,24
52,VID_14842,9
53,VID_635,3
54,VID_19621,19
55,VID_2006,11
56,VID_3232,6
57,VID_17944,0
58,VID_19507,13
59,VID_6745,0
60,VID_8446,0
61,VID_17593,11
62,VID_21611,15
63,VID_16242,5
64,VID_23409,82
65,VID_22950,249
66,VID_15401,5
67,VID_7634,0
68,VID_4283,0
69,VID_20020,7
70,VID_13334,8
71,VID_17504,13
72,VID_22854,16
73,VID_4396,23
74,VID_7426,0
75,VID_1941,26
76,VID_22447,11
77,VID_13156,0
78,VID_6361,8
79,VID_1601,10
80,VID_5787,7
81,VID_15044,15
82,VID_18511,6
83,VID_17965,5
84,VID_20023,66
85,VID_20294,8
86,VID_4284,6
87,VID_6333,17
88,VID_4459,25
89,VID_7896,0
90,VID_14003,0
91,VID_22518,58
92,VID_12272,11
93,VID_1002,2
94,VID_2801,9
95,VID_85,12
96,VID_17535,12
97,VID_16710,13
98,VID_7899,18
99,VID_3336,12
100,VID_966,12
101,VID_15920,78
102,VID_9048,8
103,VID_10819,2661
104,VID_9004,7
105,VID_8038,33
106,VID_22273,12
107,VID_9597,0
108,VID_405,5
109,VID_6857,5
110,VID_745,17
111,VID_22181,241
112,VID_2452,0
113,VID_16534,10
114,VID_8504,0
115,VID_6211,3
116,VID_7421,0
117,VID_19004,17
118,VID_21560,72
119,VID_6904,6
120,VID_10068,24
121,VID_3831,75
122,VID_523,51
123,VID_21181,10
124,VID_9556,137
125,VID_1140,12
126,VID_18078,7
127,VID_13326,26
128,VID_21883,12
129,VID_18044,7
130,VID_11715,0
131,VID_7741,12
132,VID_23167,1
133,VID_4147,5
134,VID_12377,1
135,VID_16014,1
136,VID_21928,1942
137,VID_22002,0
138,VID_19194,15
139,VID_17892,12
140,VID_19234,13
141,VID_1790,810
142,VID_7878,0
143,VID_6945,0
144,VID_17600,54
145,VID_7502,5
146,VID_11761,0
147,VID_578,5
148,VID_2068,27
149,VID_10591,1
150,VID_1300,35
151,VID_2950,11
152,VID_12930,0
153,VID_22247,242
154,VID_4330,1
155,VID_14398,18
156,VID_8506,108765
157,VID_12462,4
158,VID_21697,792
159,VID_14574,25
160,VID_14171,14
161,VID_22620,7
162,VID_5642,0
163,VID_12689,6
164,VID_3676,2
165,VID_23515,26
166,VID_11336,222
167,VID_8360,8
168,VID_14293,19
169,VID_7088,5
170,VID_11588,15
171,VID_12193,0
172,VID_18944,28
173,VID_14220,20
174,VID_2589,5
175,VID_17644,17
176,VID_20263,1
177,VID_15204,8
178,VID_6855,12
179,VID_19306,4
180,VID_20132,18
181,VID_18477,5
182,VID_4562,43
183,VID_17001,0
184,VID_6858,2
185,VID_20250,11
186,VID_22484,9
187,VID_17132,8
188,VID_19635,308
189,VID_20188,12
190,VID_1272,5
191,VID_2390,5
192,VID_10914,12
193,VID_9647,25
194,VID_11219,2
195,VID_13260,21
196,VID_21600,25
197,VID_12441,17
198,VID_15261,7
199,VID_11540,5
200,VID_20101,9
201,VID_3909,42
202,VID_14409,6
203,VID_10430,0
204,VID_8148,15
205,VID_9579,3
206,VID_12302,8
207,VID_7161,0
208,VID_17471,122
209,VID_13296,11
210,VID_1935,6
211,VID_23277,0
212,VID_20389,115
213,VID_2988,80
214,VID_5453,0
215,VID_6553,6
216,VID_18356,7
217,VID_15268,16
218,VID_21503,6
219,VID_6901,3
220,VID_5796,6
221,VID_21475,66
222,VID_19600,206
223,VID_7977,1665
224,VID_4704,7
225,VID_20858,25
226,VID_23644,15
227,VID_12962,105
228,VID_4894,0
229,VID_4803,470
230,VID_8408,2
231,VID_12226,8
232,VID_1299,7
233,VID_7721,90
234,VID_1919,111
235,VID_23316,6
236,VID_17849,618
237,VID_1313,6
238,VID_9117,5
239,VID_9152,180
240,VID_15543,0
241,VID_11505,12
242,VID_647,18
243,VID_2236,49
244,VID_14118,6
245,VID_1225,8
246,VID_11257,6
247,VID_13130,12
248,VID_12580,10
249,VID_860,57
250,VID_14251,15
251,VID_6476,32
252,VID_13070,0
253,VID_4623,58
254,VID_13599,67
255,VID_11705,28
256,VID_11736,8
257,VID_14145,43
258,VID_13264,0
259,VID_10476,7
260,VID_22755,19
261,VID_13294,5
262,VID_964,5
263,VID_23498,0
264,VID_12090,4
265,VID_7494,8
266,VID_141,8
267,VID_242,33
268,VID_8088,38
269,VID_10154,49
270,VID_3878,10
271,VID_4799,9
272,VID_12287,0
273,VID_15607,0
274,VID_9974,4
275,VID_20032,12
276,VID_9920,46
277,VID_7959,0
278,VID_21506,1
279,VID_15898,0
280,VID_4349,14
281,VID_16235,8
282,VID_6391,79
283,VID_4940,0
284,VID_16185,18
285,VID_6988,0
286,VID_877,5
287,VID_23610,0
288,VID_17702,9
289,VID_18664,13
290,VID_9915,183
291,VID_4438,1518
292,VID_15812,0
293,VID_15966,0
294,VID_2832,0
295,VID_20533,0
296,VID_12692,0
297,VID_11340,47
298,VID_10760,0
299,VID_19631,6
300,VID_7012,2
301,VID_7799,8
302,VID_3963,27
303,VID_501,12
304,VID_9202,3
305,VID_14268,187
306,VID_21714,681
307,VID_23154,8
308,VID_4429,6
309,VID_16062,3
310,VID_6282,53
311,VID_13205,7
312,VID_8515,0
313,VID_9480,63
314,VID_21979,9
315,VID_18494,8
316,VID_20589,9
317,VID_15916,5
318,VID_17023,7
319,VID_8425,1
320,VID_3586,10
321,VID_5788,7
322,VID_12137,6
323,VID_14347,19
324,VID_19044,3
325,VID_11039,19
326,VID_3484,5
327,VID_15142,7
328,VID_3351,9
329,VID_5895,17
330,VID_16112,19
331,VID_19247,12
332,VID_11439,11
333,VID_18883,22
334,VID_12140,29
335,VID_17446,33
336,VID_5115,8
337,VID_21486,2
338,VID_17120,0
339,VID_3959,0
340,VID_15956,4
341,VID_15739,160
342,VID_2682,10
343,VID_14621,9
344,VID_9320,0
345,VID_12110,8
346,VID_811,15
347,VID_9472,94
348,VID_4773,0
349,VID_12695,23
350,VID_19547,0
351,VID_530,13
352,VID_155,19
353,VID_22955,15
354,VID_20307,0
355,VID_11612,5
356,VID_15674,40
357,VID_13000,56
358,VID_1455,1
359,VID_23534,7
360,VID_18740,128
361,VID_17988,17
362,VID_21728,6
363,VID_10905,8783
364,VID_18445,39
365,VID_21983,9
366,VID_16023,1
367,VID_1444,0
368,VID_1814,12
369,VID_19094,0
370,VID_19355,0
371,VID_20430,66
372,VID_13461,5
373,VID_9066,4
374,VID_3020,442
375,VID_13577,19
376,VID_5062,8
377,VID_9293,14
378,VID_16663,0
379,VID_20444,103
380,VID_22353,0
381,VID_22384,6
382,VID_23036,56
383,VID_12705,13
384,VID_11785,6
385,VID_22988,51
386,VID_9495,0
387,VID_8909,6
388,VID_13459,98
389,VID_22206,16
390,VID_12228,27
391,VID_17498,0
392,VID_18702,3
393,VID_10850,59
394,VID_12956,243
395,VID_6246,17
396,VID_9539,16
397,VID_17436,21
398,VID_8383,11
399,VID_4554,4
400,VID_18487,4
